,Borehole,Longitude,Latitudes,Data,Data Contact,Country
291,CA-9920,-109.54,58.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-9920.html,J-C Mareschal,CA
292,CA-9921,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9921.html,J-C Mareschal,CA
293,CA-9922,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9922.html,J-C Mareschal,CA
294,CA-9923,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9923.html,J-C Mareschal,CA
295,CA-JM-a,-107.12,52.02,http://geothermal.earth.lsa.umich.edu/DATA/CA-JM-a.html,J. Majorowicz,CA
296,CA-JM-b,-106.96,50.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-JM-b.html,J. Majorowicz,CA
297,CA-Turtle,-100.50,49.20,http://geothermal.earth.lsa.umich.edu/DATA/CA-Turtle.html,W.D. Gosnold,US
298,CA-WOOD,-106.40,49.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-WOOD.html,W.D. Gosnold,US
299,US-AL7-6,-86.02,33.27,http://geothermal.earth.lsa.umich.edu/DATA/US-AL7-6.html,R.F. Roy,US
300,US-ALclay4,-86.80,33.50,http://geothermal.earth.lsa.umich.edu/DATA/US-ALclay4.html,S.R. Durrans,AL
301,US-ALclay6,-86.80,33.50,http://geothermal.earth.lsa.umich.edu/DATA/US-ALclay6.html,S.R. Durrans,AL
302,US-AZ3-6,-110.60,33.03,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ3-6.html,J.H. Sass,US
303,US-AZ3-8,-111.00,31.97,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ3-8.html,J.H. Sass,US
304,US-AZ7-12,-110.80,31.87,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-12.html,R.F. Roy,US
305,US-AZ7-13,-113.10,35.13,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-13.html,R.F. Roy,US
306,US-AZ7-16,-114.30,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-16.html,R.F. Roy,US
307,US-AZ7-17,-114.30,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-17.html,R.F. Roy,US
308,US-AZ7-18,-114.30,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-18.html,R.F. Roy,US
309,US-AZ7-20,-110.70,31.83,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-20.html,R.F. Roy,US
310,US-AZ7-22,-111.10,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-22.html,R.F. Roy,US
311,US-AZ7-23,-111.10,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-23.html,R.F. Roy,US
312,US-AZ7-24,-111.10,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-24.html,R.F. Roy,US
313,US-AZ7-25,-111.10,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-25.html,R.F. Roy,US
314,US-CA3-25,-122.80,39.70,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-25.html,J.H. Sass,US
315,US-CA3-38,-119.30,35.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-38.html,J.H. Sass,US
316,US-CA3-41,-118.90,37.13,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-41.html,A.H. Lachenbruch,US
317,US-CA3-43,-119.30,37.10,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-43.html,A.H. Lachenbruch,US
318,US-CA7-28,-120.60,38.87,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-28.html,R.F. Roy,US
319,US-CA7-29,-121.10,38.83,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-29.html,R.F. Roy,US
320,US-CA7-31,-120.50,38.55,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-31.html,R.F. Roy,US
321,US-CO3-73,-108.30,40.05,http://geothermal.earth.lsa.umich.edu/DATA/US-CO3-73.html,J.H. Sass,US
322,US-CO3-75,-108.40,39.97,http://geothermal.earth.lsa.umich.edu/DATA/US-CO3-75.html,J.H. Sass,US
323,US-CO5-14,-105.50,38.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-14.html,"Decker, Birch",US
324,US-CO5-15,-105.50,38.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-15.html,"Decker, Birch",US
325,US-CO5-20,-105.20,39.78,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-20.html,"Roy, Decker",US
326,US-CO5-22,-106.10,39.43,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-22.html,"Decker, Birch",US
327,US-CO5-23,-107.60,37.93,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-23.html,"Decker, Birch",US
328,US-CO5-24,-107.00,39.00,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-24.html,"Roy, Decker",US
329,US-CO5-25,-108.30,39.95,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-25.html,R.F. Roy,US
330,US-CO5-31,-105.40,38.13,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-31.html,Siems,US
331,US-CO5-32,-105.40,38.15,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-32.html,Siems,US
332,US-CO5-6,-105.50,39.87,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-6.html,"Decker, Birch",US
333,US-CO5-8,-106.50,38.68,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-8.html,"Decker, Birch",US
334,US-DC6-61,-77.00,39.00,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-61.html,W.H. Diment,US
335,US-DC6-62,-77.00,39.00,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-62.html,W.H. Diment,US
336,US-DC6-63,-77.00,39.00,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-63.html,W.H. Diment,US
337,US-GLEN95,-101.20,48.50,http://geothermal.earth.lsa.umich.edu/DATA/US-GLEN95.html,W.D. Gosnold,US
338,US-GSEL-02,-116.03,41.60,http://geothermal.earth.lsa.umich.edu/DATA/US-GSEL-02.html,J.H. Sass,US
339,US-GSNY-07,-117.82,38.88,http://geothermal.earth.lsa.umich.edu/DATA/US-GSNY-07.html,J.H. Sass,US
340,US-GSST-3,-118.81,38.37,http://geothermal.earth.lsa.umich.edu/DATA/US-GSST-3.html,J.H. Sass,US
341,US-HAY955,-102.70,42.60,http://geothermal.earth.lsa.umich.edu/DATA/US-HAY955.html,W.D. Gosnold,US
342,US-HAYSPR,-102.70,42.60,http://geothermal.earth.lsa.umich.edu/DATA/US-HAYSPR.html,W.D. Gosnold,US
343,US-IA7-33,-95.19,43.17,http://geothermal.earth.lsa.umich.edu/DATA/US-IA7-33.html,R.F. Roy,US
344,US-KEN95,-99.80,43.80,http://geothermal.earth.lsa.umich.edu/DATA/US-KEN95.html,W.D. Gosnold,US
345,US-M952M,-101.50,48.30,http://geothermal.earth.lsa.umich.edu/DATA/US-M952M.html,W.D. Gosnold,US
346,US-ME7-34,-68.62,44.40,http://geothermal.earth.lsa.umich.edu/DATA/US-ME7-34.html,"Birch, Roy",US
347,US-ME7-35,-70.62,44.05,http://geothermal.earth.lsa.umich.edu/DATA/US-ME7-35.html,"Birch, Roy",US
348,US-MI7-40,-88.02,47.40,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-40.html,R.F. Roy,US
349,US-MI7-41,-89.57,46.75,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-41.html,R.F. Roy,US
350,US-MI7-42,-89.57,46.73,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-42.html,R.F. Roy,US
351,US-MINOT,-101.30,48.50,http://geothermal.earth.lsa.umich.edu/DATA/US-MINOT.html,W.D. Gosnold,US
352,US-MN5-34,-91.72,47.82,http://geothermal.earth.lsa.umich.edu/DATA/US-MN5-34.html,R.F. Roy,US
353,US-MN5-35,-91.72,47.82,http://geothermal.earth.lsa.umich.edu/DATA/US-MN5-35.html,R.F. Roy,US
354,US-MND84,-101.50,48.40,http://geothermal.earth.lsa.umich.edu/DATA/US-MND84.html,W.D. Gosnold,US
355,US-MT2-14,-112.30,46.72,http://geothermal.earth.lsa.umich.edu/DATA/US-MT2-14.html,D.D. Blackwell,US
356,US-MT2-8,-109.90,45.05,http://geothermal.earth.lsa.umich.edu/DATA/US-MT2-8.html,D.D. Blackwell,US
357,US-MT3-83,-109.90,45.38,http://geothermal.earth.lsa.umich.edu/DATA/US-MT3-83.html,J.H. Sass,US
358,US-MT3-84,-109.90,45.38,http://geothermal.earth.lsa.umich.edu/DATA/US-MT3-84.html,J.H. Sass,US
359,US-NH7-72,-72.13,42.78,http://geothermal.earth.lsa.umich.edu/DATA/US-NH7-72.html,F. Birch,US
360,US-NJ6-10,-74.60,41.08,http://geothermal.earth.lsa.umich.edu/DATA/US-NJ6-10.html,W.H. Diment,US
361,US-NJ6-8,-74.58,41.10,http://geothermal.earth.lsa.umich.edu/DATA/US-NJ6-8.html,W.H. Diment,US
362,US-NM3-160,-107.20,36.68,http://geothermal.earth.lsa.umich.edu/DATA/US-NM3-160.html,F. Birch,US
363,US-NM5-38,-106.10,35.47,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-38.html,F. Birch,US
364,US-NM5-40,-105.40,32.02,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-40.html,F. Birch,US
365,US-NM5-43,-108.30,31.85,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-43.html,F. Birch,US
366,US-NM5-47,-108.70,32.33,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-47.html,F. Birch,US
367,US-NM5-48,-108.70,32.33,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-48.html,F. Birch,US
368,US-NM5-52,-105.40,36.72,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-52.html,F. Birch,US
369,US-NM5-56,-108.00,32.80,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-56.html,F. Birch,US
370,US-NV3-120,-114.50,37.97,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-120.html,J.H. Sass,US
371,US-NV3-130,-117.80,38.32,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-130.html,J.H. Sass,US
372,US-NV3-131,-117.80,38.32,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-131.html,J.H. Sass,US
373,US-NV3-134,-116.90,38.57,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-134.html,"Munroe, Moses",US
374,US-NV3-138,-118.30,39.20,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-138.html,J.H. Sass,US
375,US-NV3-139,-118.30,39.20,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-139.html,J.H. Sass,US
376,US-NV3-140,-118.30,39.20,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-140.html,J.H. Sass,US
377,US-NV3-141,-118.30,39.20,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-141.html,J.H. Sass,US
378,US-NV3-151,-116.60,40.30,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-151.html,J.H. Sass,US
379,US-NV3-91,-116.20,37.18,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-91.html,J.H. Sass,US
380,US-NV3-92,-117.00,40.68,http://geothermal.earth.lsa.umich.edu/DATA/US-NV3-92.html,J.H. Sass,US
381,US-NV7-47,-115.10,35.48,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-47.html,R.F. Roy,US
382,US-NV7-48,-115.10,35.38,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-48.html,R.F. Roy,US
383,US-NV7-49,-117.50,38.23,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-49.html,R.F. Roy,US
384,US-NV7-50,-117.50,38.23,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-50.html,R.F. Roy,US
385,US-NV7-51,-117.50,38.23,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-51.html,R.F. Roy,US
386,US-NV7-55,-117.30,38.32,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-55.html,R.F. Roy,US
387,US-NV7-56,-117.30,38.32,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-56.html,R.F. Roy,US
388,US-NV7-62,-117.50,38.32,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-62.html,R.F. Roy,US
389,US-NV7-66,-114.30,39.28,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-66.html,R.F. Roy,US
390,US-NV7-67,-114.60,39.08,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-67.html,R.F. Roy,US
391,US-NV7-68,-114.90,39.07,http://geothermal.earth.lsa.umich.edu/DATA/US-NV7-68.html,R.F. Roy,US
392,US-NY6-11,-75.42,44.25,http://geothermal.earth.lsa.umich.edu/DATA/US-NY6-11.html,Urban,US
393,US-NY6-13,-75.40,44.27,http://geothermal.earth.lsa.umich.edu/DATA/US-NY6-13.html,Urban,US
394,US-NY6-14,-75.40,44.27,http://geothermal.earth.lsa.umich.edu/DATA/US-NY6-14.html,Urban,US
395,US-NY6-29,-74.45,42.45,http://geothermal.earth.lsa.umich.edu/DATA/US-NY6-29.html,Urban,US
396,US-NY6-43,-76.90,42.42,http://geothermal.earth.lsa.umich.edu/DATA/US-NY6-43.html,Urban,US
397,US-NY7-78,-73.62,43.30,http://geothermal.earth.lsa.umich.edu/DATA/US-NY7-78.html,F. Birch,US
398,US-NY7-79,-73.90,44.58,http://geothermal.earth.lsa.umich.edu/DATA/US-NY7-79.html,F. Birch,US
399,US-PA6-49,-75.83,40.35,http://geothermal.earth.lsa.umich.edu/DATA/US-PA6-49.html,Urban,US
400,US-PR6-65,-66.80,18.25,http://geothermal.earth.lsa.umich.edu/DATA/US-PR6-65.html,W.H. Diment,US
401,US-PR6-66,-67.17,18.15,http://geothermal.earth.lsa.umich.edu/DATA/US-PR6-66.html,W.H. Diment,US
402,US-RUSH95,-102.20,42.60,http://geothermal.earth.lsa.umich.edu/DATA/US-RUSH95.html,W.D. Gosnold,US
403,US-SC6-52,-81.67,33.28,http://geothermal.earth.lsa.umich.edu/DATA/US-SC6-52.html,W.H. Diment,US
404,US-SC6-53,-81.67,33.28,http://geothermal.earth.lsa.umich.edu/DATA/US-SC6-53.html,W.H. Diment,US
405,US-SC6-55,-81.67,33.28,http://geothermal.earth.lsa.umich.edu/DATA/US-SC6-55.html,W.H. Diment,US
406,US-TN6-57,-84.32,35.92,http://geothermal.earth.lsa.umich.edu/DATA/US-TN6-57.html,W.H. Diment,US
407,US-TX5-60,-104.80,31.45,http://geothermal.earth.lsa.umich.edu/DATA/US-TX5-60.html,J. Adams,US
408,US-UT3-172,-109.60,39.98,http://geothermal.earth.lsa.umich.edu/DATA/US-UT3-172.html,J.H. Sass,US
409,US-UT7-85,-112.00,39.87,http://geothermal.earth.lsa.umich.edu/DATA/US-UT7-85.html,R.F. Roy,US
410,US-UTSRD-1,-109.67,38.61,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRD-1.html,R.N. Harris,US
411,US-UTSRD-2,-109.62,38.58,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRD-2.html,R.N. Harris,US
412,US-UTSRD-3,-109.85,38.71,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRD-3.html,R.N. Harris,US
413,US-UTSRD-4,-109.87,38.73,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRD-4.html,R.N. Harris,US
414,US-UTSRD-7,-109.48,38.69,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRD-7.html,R.N. Harris,US
415,US-UTSRS-3,-109.32,38.80,http://geothermal.earth.lsa.umich.edu/DATA/US-UTSRS-3.html,R.N. Harris,US
416,US-VA6-60,-77.90,36.87,http://geothermal.earth.lsa.umich.edu/DATA/US-VA6-60.html,W.H. Diment,US
417,US-WA2-26,-118.70,48.07,http://geothermal.earth.lsa.umich.edu/DATA/US-WA2-26.html,D.D. Blackwell,US
418,US-WA3-175,-122.80,46.53,http://geothermal.earth.lsa.umich.edu/DATA/US-WA3-175.html,J.H. Sass,US
419,US-WA3-177,-122.80,46.53,http://geothermal.earth.lsa.umich.edu/DATA/US-WA3-177.html,J.H. Sass,US
420,US-WA3-180,-119.20,46.35,http://geothermal.earth.lsa.umich.edu/DATA/US-WA3-180.html,J.H. Sass,US
421,US-WALL94,-102.23,43.74,http://geothermal.earth.lsa.umich.edu/DATA/US-WALL94.html,W.D. Gosnold,US
422,US-WY2-27,-109.20,43.87,http://geothermal.earth.lsa.umich.edu/DATA/US-WY2-27.html,D.D. Blackwell,US
423,US-WY3-184,-109.50,42.77,http://geothermal.earth.lsa.umich.edu/DATA/US-WY3-184.html,J.H. Sass,US
424,US-kiw82,-69.20,45.43,http://geothermal.earth.lsa.umich.edu/DATA/US-kiw82.html,E.R. Decker,US
425,US-lon65,-72.50,43.25,http://geothermal.earth.lsa.umich.edu/DATA/US-lon65.html,H.N. Pollack,US
426,US-luc82,-68.60,44.72,http://geothermal.earth.lsa.umich.edu/DATA/US-luc82.html,E.R. Decker,US
427,US-nha64,-72.00,44.10,http://geothermal.earth.lsa.umich.edu/DATA/US-nha64.html,H.N. Pollack,US
428,US-nha92,-72.00,44.10,http://geothermal.earth.lsa.umich.edu/DATA/US-nha92.html,E.R. Decker,US
429,US-nos65,-72.55,43.33,http://geothermal.earth.lsa.umich.edu/DATA/US-nos65.html,H.N. Pollack,US
430,US-nos92,-72.55,43.33,http://geothermal.earth.lsa.umich.edu/DATA/US-nos92.html,E.R. Decker,US
431,US-sar64,-74.27,44.33,http://geothermal.earth.lsa.umich.edu/DATA/US-sar64.html,H.N. Pollack,US
432,US-sar92,-74.27,44.33,http://geothermal.earth.lsa.umich.edu/DATA/US-sar92.html,E.R. Decker,US
433,US-wad64,-73.47,44.23,http://geothermal.earth.lsa.umich.edu/DATA/US-wad64.html,H.N. Pollack,US
434,US-wes64,-72.82,43.28,http://geothermal.earth.lsa.umich.edu/DATA/US-wes64.html,H.N. Pollack,US
